Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,56.720001,57.000000,55.099998,55.330002,54.458702,781300
2020-05-01,53.820000,54.230000,51.669998,52.380001,51.555157,870900
2020-05-04,51.709999,54.310001,51.529999,54.310001,53.454765,459800
2020-05-05,55.529999,56.020000,54.759998,55.060001,54.192955,637400
2020-05-06,55.330002,55.849998,54.750000,55.330002,54.458702,614200
2020-05-07,56.090000,56.898998,55.639999,56.599998,55.708702,638800
2020-05-08,57.160000,58.449001,56.500000,58.299999,57.381931,620600
2020-05-11,57.549999,60.189999,57.389000,59.680000,58.740200,767500
2020-05-12,60.500000,60.500000,58.160000,58.160000,57.244137,952200
2020-05-13,58.029999,58.716000,54.770000,56.330002,55.442955,926900
2020-05-14,55.430000,56.450001,54.310001,56.250000,55.364212,1023600
2020-05-15,55.830002,58.220001,55.516998,58.090000,57.175240,493700
2020-05-18,60.070000,60.639999,59.619999,59.880001,58.937054,825900
2020-05-19,60.009998,61.150002,59.680000,59.820000,58.877995,867400
2020-05-20,61.009998,61.889999,59.959999,61.820000,60.846500,1101300
2020-05-21,61.820000,62.340000,60.509998,61.980000,61.003983,839000
2020-05-22,61.959999,62.799999,61.500000,62.759998,61.771698,683900
2020-05-26,64.900002,64.900002,62.779999,62.900002,61.909496,1448800
2020-05-27,63.520000,63.520000,59.650002,62.509998,61.525635,1074500
2020-05-28,62.730000,63.259998,61.490002,61.750000,60.777603,832500
2020-05-29,61.939999,63.000000,61.279999,62.820000,61.830753,599600
2020-06-01,63.360001,65.169998,62.930000,64.800003,63.779579,1557600
2020-06-02,65.199997,65.639999,64.010002,65.599998,64.566978,1370400
2020-06-03,66.419998,66.720001,65.660004,65.870003,64.832726,1529700
2020-06-04,65.800003,66.283997,63.459999,63.950001,62.942959,1243000
2020-06-05,65.349998,65.653000,64.010002,64.250000,63.238235,846200
2020-06-08,64.989998,65.370003,64.519997,65.370003,64.340599,968100
2020-06-09,64.599998,66.599998,64.419998,65.610001,64.576820,1750400
2020-06-10,66.639999,67.040001,65.639999,66.510002,65.462646,1272000
2020-06-11,63.930000,64.470001,61.500000,61.570000,60.600437,1822100
2020-06-12,63.720001,63.840000,60.611000,62.419998,61.437050,1185900
2020-06-15,60.740002,64.769997,60.740002,64.639999,63.622093,1619300
2020-06-16,66.750000,67.029999,64.440002,66.690002,65.639816,2166800
2020-06-17,67.209999,67.589996,66.220001,66.500000,65.452805,862700
2020-06-18,66.430000,67.889999,66.205002,67.629997,66.565010,769500
2020-06-19,68.750000,69.250000,67.595001,68.029999,66.958710,996800
2020-06-22,68.660004,71.430000,68.589996,71.290001,70.167374,1644100
2020-06-23,72.529999,73.448997,71.550003,72.400002,71.259895,1904500
2020-06-24,71.629997,72.459999,68.620003,69.300003,68.208717,1804100
2020-06-25,69.139999,70.760002,68.410004,70.580002,69.468559,1132400
2020-06-26,70.339996,71.059998,68.930000,68.970001,67.883911,1179300
2020-06-29,69.349998,69.570000,67.730003,69.360001,68.267769,1473700
2020-06-30,69.250000,71.430000,69.178001,71.309998,70.187057,1330800
2020-07-01,71.470001,74.000000,71.330002,73.500000,72.342575,1650700
2020-07-02,75.910004,75.919998,74.584999,74.940002,73.759895,2168700
2020-07-06,77.269997,79.042000,76.500000,77.750000,76.525650,1972800
2020-07-07,78.099998,80.589996,77.550003,78.839996,77.598480,2251700
2020-07-08,80.019997,81.239998,79.639999,80.720001,79.448875,2230100
2020-07-09,81.739998,81.930000,79.019997,81.080002,79.803207,2033500
2020-07-10,80.949997,81.360001,80.169998,80.889999,79.616203,1575900
2020-07-13,83.000000,84.543999,78.000000,78.139999,76.909508,3642600
2020-07-14,78.099998,79.500000,75.010002,78.820000,77.578796,2042200
2020-07-15,80.360001,81.120003,78.540001,80.930000,79.655571,2728700
2020-07-16,79.599998,80.470001,78.913002,79.760002,78.503998,1431900
2020-07-17,80.300003,80.860001,79.639000,80.669998,79.399666,1265100
2020-07-20,81.239998,84.250000,81.120003,84.029999,82.706749,1750400
2020-07-21,84.949997,84.949997,82.269997,82.519997,81.220528,1796000
2020-07-22,83.010002,83.580002,81.849998,82.529999,81.230377,1181600
2020-07-23,82.900002,83.589996,79.580002,80.470001,79.202812,1794500
2020-07-24,78.900002,79.817001,77.400002,78.830002,77.588638,1953000
2020-07-27,79.800003,82.129997,79.320999,81.970001,80.679192,2314000
2020-07-28,81.620003,81.639999,79.279999,79.349998,78.100449,1182700
2020-07-29,80.000000,80.599998,79.870003,80.070000,78.809113,1098900
2020-07-30,79.419998,80.809998,78.800003,80.400002,79.133919,1015700
2020-07-31,81.690002,81.830002,79.360001,80.370003,79.104393,1035600
2020-08-03,81.309998,83.989998,81.199997,83.680000,82.362267,2924800
2020-08-04,83.900002,84.260002,83.129997,84.199997,82.874077,2081000
2020-08-05,84.930000,85.830002,84.470001,85.610001,84.261871,2024600
2020-08-06,85.620003,86.110001,84.383003,84.870003,83.533531,1552200
2020-08-07,84.589996,84.820000,81.239998,82.489998,81.191002,1983100
2020-08-10,84.660004,84.889999,82.769997,83.470001,82.155571,1680900
2020-08-11,83.320000,83.698997,81.385002,81.580002,80.295334,1588600
