Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,140.330002,141.020004,134.149994,138.270004,136.596802,63864900
2020-06-15,133.279999,142.059998,133.279999,140.990005,139.754898,57354800
2020-06-16,146.690002,146.690002,141.029999,144.380005,143.115189,48957000
2020-06-17,144.589996,144.990005,141.320007,141.770004,140.528061,34811400
2020-06-18,140.369995,143.309998,139.809998,141.720001,140.478500,26974100
2020-06-19,144.419998,144.509995,139.839996,140.990005,139.754898,50293800
2020-06-22,140.240005,142.559998,138.830002,142.399994,141.152527,28983200
2020-06-23,144.320007,144.660004,142.649994,143.000000,141.747299,20344200
2020-06-24,141.100006,141.600006,136.309998,138.360001,137.147919,42998700
2020-06-25,137.710007,140.580002,136.289993,140.449997,139.219604,37191200
2020-06-26,139.479996,139.830002,136.490005,136.669998,135.472733,39100100
2020-06-29,138.710007,141.990005,137.100006,141.139999,139.903580,33935200
2020-06-30,140.669998,143.619995,140.589996,143.179993,141.925705,32865900
2020-07-01,143.649994,144.509995,141.240005,141.820007,140.577621,26457500
2020-07-02,144.559998,145.279999,141.889999,142.399994,141.152527,24022400
2020-07-06,145.320007,145.699997,142.929993,143.429993,142.173508,19858200
2020-07-07,142.179993,143.440002,140.479996,140.889999,139.655762,22661000
2020-07-08,140.759995,142.500000,139.100006,141.940002,140.696579,27358900
2020-07-09,142.020004,142.350006,137.240005,139.070007,137.851730,34647800
2020-07-10,139.139999,141.500000,138.460007,141.309998,140.072083,24008200
2020-07-13,142.800003,144.639999,139.389999,139.520004,138.297775,34235500
2020-07-14,139.429993,141.979996,138.639999,141.830002,140.587540,28114000
2020-07-15,145.419998,147.779999,144.789993,147.029999,145.741974,40770100
2020-07-16,146.110001,146.669998,144.880005,146.160004,144.879608,30530800
2020-07-17,146.679993,147.589996,145.509995,146.589996,145.305817,20644100
2020-07-20,146.119995,146.850006,145.149994,145.960007,144.681351,19663300
2020-07-21,147.470001,149.160004,147.199997,148.029999,146.733215,24544700
2020-07-22,147.089996,148.669998,147.029999,148.110001,146.812515,24424800
2020-07-23,147.979996,150.199997,146.699997,148.259995,146.961197,21704900
2020-07-24,147.289993,147.669998,145.559998,146.080002,144.800293,20015500
2020-07-27,146.190002,147.690002,145.389999,147.600006,146.306992,13370700
2020-07-28,147.070007,148.039993,146.059998,146.130005,144.849869,13268000
2020-07-29,147.000000,149.449997,146.979996,149.350006,148.041672,19864400
2020-07-30,147.139999,149.119995,146.330002,148.759995,147.456818,23618900
2020-07-31,148.139999,148.419998,144.669998,147.360001,146.069092,29936500
