Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,5.650000,5.680000,5.443000,5.540000,5.540000,76400
2020-05-01,5.300000,5.500000,5.300000,5.350000,5.350000,45100
2020-05-04,5.360000,5.360000,5.050000,5.100000,5.100000,75800
2020-05-05,5.050000,5.050000,4.714000,4.790000,4.790000,145200
2020-05-06,4.800000,4.800000,4.400000,4.450000,4.450000,188900
2020-05-07,4.550000,4.610000,4.450000,4.580000,4.580000,56600
2020-05-08,4.650000,4.660000,4.500000,4.600000,4.600000,119000
2020-05-11,4.350000,4.480000,4.285000,4.430000,4.430000,162400
2020-05-12,4.360000,4.360000,4.120000,4.130000,4.130000,100000
2020-05-13,3.960000,4.060000,3.750000,3.910000,3.910000,873900
2020-05-14,3.950000,4.100000,3.950000,4.013000,4.013000,78200
2020-05-15,4.070000,4.190000,4.070000,4.170000,4.170000,131300
2020-05-18,4.660000,4.790000,4.400000,4.590000,4.590000,726000
2020-05-19,4.640000,4.700000,4.560000,4.620000,4.620000,427000
2020-05-20,4.850000,5.150000,4.700000,4.910000,4.910000,253300
2020-05-21,4.990000,4.990000,4.920000,4.940000,4.940000,256300
2020-05-22,4.850000,4.930000,4.700000,4.880000,4.880000,45700
2020-05-26,4.600000,4.900000,4.600000,4.800000,4.800000,110800
2020-05-27,4.740000,4.800000,4.530000,4.650000,4.650000,365800
2020-05-28,4.580000,4.740000,4.550000,4.550000,4.550000,100600
2020-05-29,4.680000,4.680000,4.620000,4.650000,4.650000,53200
2020-06-01,4.690000,4.750000,4.570000,4.640000,4.640000,92400
2020-06-02,4.890000,5.000000,4.820000,5.000000,5.000000,324300
2020-06-03,5.080000,5.100000,4.960000,5.030000,5.030000,305100
2020-06-04,5.030000,5.135000,5.000000,5.050000,5.050000,144300
2020-06-05,5.440000,5.500000,5.240000,5.450000,5.450000,340300
2020-06-08,5.450000,5.520000,5.330000,5.510000,5.510000,207600
2020-06-09,5.080000,5.420000,5.080000,5.270000,5.270000,284600
2020-06-10,5.360000,5.873000,5.360000,5.780000,5.780000,231200
2020-06-11,6.100000,6.200000,5.650000,5.780000,5.780000,506400
2020-06-12,6.000000,6.360000,6.000000,6.360000,6.360000,312200
2020-06-15,6.190000,6.550000,6.157000,6.420000,6.420000,332800
2020-06-16,6.990000,7.460000,6.990000,7.220000,7.220000,512900
2020-06-17,7.730000,7.830000,7.500000,7.820000,7.820000,725400
2020-06-18,7.800000,7.870000,7.230000,7.260000,7.260000,504800
2020-06-19,7.350000,7.400000,7.170000,7.275000,7.275000,230500
2020-06-22,7.610000,7.650000,7.390000,7.430000,7.430000,267500
2020-06-23,7.870000,8.240000,7.850000,8.180000,8.180000,343300
2020-06-24,8.000000,8.000000,7.370000,7.440000,7.440000,398300
2020-06-25,7.470000,7.600000,7.001000,7.240000,7.240000,487500
2020-06-26,7.240000,7.690000,7.210000,7.610000,7.610000,228400
2020-06-29,7.510000,7.700000,7.510000,7.560000,7.560000,210300
2020-06-30,7.430000,7.450000,7.250000,7.390000,7.390000,168000
2020-07-01,7.270000,7.460000,7.170000,7.200000,7.200000,286700
2020-07-02,7.730000,8.180000,7.630000,8.050000,8.050000,527100
2020-07-06,9.180000,9.478000,9.040000,9.420000,9.420000,609800
2020-07-07,8.950000,9.030000,8.600000,8.930000,8.930000,374800
2020-07-08,8.600000,9.000000,8.270000,9.000000,9.000000,317200
2020-07-09,8.860000,8.870000,8.400000,8.750000,8.750000,170300
2020-07-10,8.750000,8.800000,8.310000,8.490000,8.490000,244000
2020-07-13,8.370000,8.465000,8.020000,8.100000,8.100000,330000
2020-07-14,7.800000,8.000000,7.600000,7.820000,7.820000,201100
2020-07-15,7.910000,7.910000,7.450000,7.520000,7.520000,165500
2020-07-16,7.850000,8.120000,7.847000,7.980000,7.980000,91400
2020-07-17,8.100000,8.100000,8.000000,8.000000,8.000000,35600
2020-07-20,7.900000,7.900000,7.480000,7.500000,7.500000,44700
2020-07-21,7.150000,7.270000,7.110000,7.110000,7.110000,216400
2020-07-22,6.950000,6.950000,6.850000,6.910000,6.910000,252000
2020-07-23,6.800000,7.200000,6.640000,7.150000,7.150000,225500
2020-07-24,7.380000,7.480000,7.155000,7.390000,7.390000,166600
2020-07-27,7.490000,7.590000,7.330000,7.550000,7.550000,155400
2020-07-28,7.800000,8.039000,7.800000,7.900000,7.900000,188600
2020-07-29,8.400000,8.600000,8.400000,8.510000,8.510000,141000
2020-07-30,8.430000,8.505000,8.080000,8.190000,8.190000,212400
2020-07-31,8.520000,8.520000,7.980000,8.150000,8.150000,78900
2020-08-03,8.630000,8.630000,8.350000,8.420000,8.420000,109800
2020-08-04,8.630000,8.790000,8.600000,8.690000,8.690000,58400
2020-08-05,8.520000,8.600000,8.350000,8.510000,8.510000,265900
2020-08-06,9.000000,9.000000,8.690000,8.800000,8.800000,66300
2020-08-07,8.830000,8.830000,8.480000,8.500000,8.500000,35600
2020-08-10,8.530000,8.750000,8.530000,8.610000,8.610000,97800
2020-08-11,8.910000,9.340000,8.910000,9.320000,9.320000,244800
2020-08-12,9.180000,9.300000,9.101000,9.160000,9.160000,134300
2020-08-13,9.130000,9.400000,9.020000,9.020000,9.020000,81400
2020-08-14,9.090000,9.090000,8.850000,8.850000,8.850000,33900
2020-08-17,8.801000,8.970000,8.740000,8.900000,8.900000,50100
2020-08-18,8.770000,8.845000,8.750000,8.840000,8.840000,65300
2020-08-19,8.730000,8.730000,8.430000,8.470000,8.470000,158600
2020-08-20,8.070000,8.168000,7.910000,8.050000,8.050000,179800
2020-08-21,8.050000,8.150000,8.050000,8.110000,8.110000,40400
2020-08-24,9.000000,9.000000,8.580000,8.660000,8.660000,45900
2020-08-25,8.770000,8.880000,8.760000,8.760000,8.760000,90200
2020-08-26,8.750000,8.950000,8.750000,8.790000,8.790000,33700
2020-08-27,8.770000,8.900000,8.750000,8.770000,8.770000,39600
2020-08-28,8.850000,8.990000,8.650000,8.770000,8.770000,121400
2020-08-31,8.850000,8.850000,8.500000,8.520000,8.520000,48000
2020-09-01,8.500000,8.500000,8.130000,8.130000,8.130000,87100
2020-09-02,8.000000,8.100000,7.790000,7.820000,7.820000,112900
2020-09-03,7.770000,7.770000,7.366000,7.410000,7.410000,91900
