Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,27.540001,28.305000,27.090000,27.389999,27.389999,3365700
2020-05-01,26.580000,26.850000,25.000000,25.139999,25.139999,7351500
2020-05-04,26.360001,27.100000,26.045000,26.530001,26.530001,5052200
2020-05-05,27.280001,28.010000,27.260000,27.510000,27.510000,3633700
2020-05-06,28.030001,28.570000,27.910000,27.980000,27.980000,2815400
2020-05-07,28.500000,28.760000,27.889999,28.650000,28.650000,3880800
2020-05-08,28.820000,29.840000,28.620001,29.000000,29.000000,3280300
2020-05-11,28.760000,29.190001,28.080000,28.680000,28.680000,3598300
2020-05-12,28.879999,30.129999,28.629999,29.240000,29.240000,3650300
2020-05-13,29.940001,31.170000,29.820000,30.680000,30.680000,6841500
2020-05-14,30.219999,31.120001,28.650000,31.030001,31.030001,5343700
2020-05-15,30.240000,31.620001,30.100000,30.879999,30.879999,5019200
2020-05-18,32.000000,34.099998,31.860001,33.660000,33.660000,9193100
2020-05-19,33.049999,36.259998,31.360001,35.220001,35.220001,15117100
2020-05-20,35.900002,36.470001,32.150002,32.700001,32.700001,11201800
2020-05-21,31.930000,34.020000,31.500000,33.930000,33.930000,7564300
2020-05-22,32.400002,33.389999,31.549999,33.040001,33.040001,5388200
2020-05-26,33.910000,34.700001,33.060001,33.130001,33.130001,3563200
2020-05-27,34.080002,34.189999,30.879999,32.299999,32.299999,6215900
2020-05-28,31.340000,33.020000,30.540001,30.740000,30.740000,8328100
2020-05-29,30.860001,32.770000,30.440001,32.430000,32.430000,19147900
2020-06-01,32.439999,33.325001,32.320000,33.060001,33.060001,4416500
2020-06-02,33.389999,34.200001,32.410000,34.189999,34.189999,5899000
2020-06-03,34.540001,34.540001,33.310001,34.150002,34.150002,4703300
2020-06-04,34.200001,34.500000,33.280998,33.560001,33.560001,4179300
2020-06-05,33.900002,34.540001,33.110001,34.500000,34.500000,5915000
2020-06-08,34.680000,35.700001,33.840000,34.959999,34.959999,5138300
2020-06-09,34.709999,35.088001,33.790001,33.869999,33.869999,3618300
2020-06-10,34.119999,35.790001,33.939999,35.480000,35.480000,4690900
2020-06-11,34.110001,35.132000,33.584999,33.900002,33.900002,4038800
2020-06-12,34.980000,36.009998,34.290001,35.869999,35.869999,5585500
2020-06-15,35.060001,38.535000,35.020000,38.209999,38.209999,7566700
2020-06-16,39.750000,40.000000,38.330002,39.340000,39.340000,6391300
2020-06-17,39.599998,42.000000,39.080002,41.110001,41.110001,6371900
2020-06-18,41.279999,42.799999,40.700001,42.610001,42.610001,7089000
2020-06-19,44.189999,45.950001,43.650002,44.720001,44.720001,15148400
2020-06-22,45.000000,45.025002,41.540001,42.889999,42.889999,8230800
2020-06-23,43.740002,45.340000,43.270000,44.639999,44.639999,5023900
2020-06-24,44.770000,44.959999,42.549999,44.029999,44.029999,5074500
2020-06-25,43.450001,44.610001,43.450001,44.570000,44.570000,2616300
2020-06-26,44.860001,45.439999,43.639999,44.520000,44.520000,3748200
2020-06-29,44.029999,46.169998,43.590000,45.500000,45.500000,5393800
2020-06-30,45.299999,47.919998,45.299999,46.320000,46.320000,5950800
2020-07-01,46.770000,47.439999,46.029999,47.150002,47.150002,3578400
2020-07-02,48.419998,49.189999,47.810001,48.180000,48.180000,4361900
2020-07-06,51.169998,51.250000,43.400002,44.139999,44.139999,22247800
2020-07-07,45.090000,46.560001,43.500000,46.230000,46.230000,9304900
2020-07-08,47.750000,48.349998,45.099998,46.669998,46.669998,7152600
2020-07-09,49.290001,49.500000,46.709999,48.230000,48.230000,7391500
2020-07-10,47.790001,48.209999,46.130001,47.549999,47.549999,4514700
2020-07-13,48.191002,49.369999,45.000000,45.310001,45.310001,6852100
2020-07-14,43.950001,44.130001,41.299999,43.980000,43.980000,9998200
2020-07-15,44.650002,44.669998,42.660000,43.220001,43.220001,4293600
2020-07-16,40.824001,42.785000,40.380001,42.540001,42.540001,9050300
2020-07-17,42.254002,42.580002,41.529999,41.900002,41.900002,3440300
